dataset,model_key,true_label,predicted_label,count
MetaSMS,moonlight_16b_zero-shot_basic_direct,ham,ham,6032
MetaSMS,moonlight_16b_zero-shot_basic_direct,ham,spam,1575
MetaSMS,moonlight_16b_zero-shot_basic_direct,ham,smishing,661
MetaSMS,moonlight_16b_zero-shot_basic_direct,spam,ham,51
MetaSMS,moonlight_16b_zero-shot_basic_direct,spam,spam,135
MetaSMS,moonlight_16b_zero-shot_basic_direct,spam,smishing,433
MetaSMS,moonlight_16b_zero-shot_basic_direct,smishing,ham,32
MetaSMS,moonlight_16b_zero-shot_basic_direct,smishing,spam,232
MetaSMS,moonlight_16b_zero-shot_basic_direct,smishing,smishing,849
MetaSMS,moonlight_16b_zero-shot_expert_direct,ham,ham,5821
MetaSMS,moonlight_16b_zero-shot_expert_direct,ham,spam,2312
MetaSMS,moonlight_16b_zero-shot_expert_direct,ham,smishing,135
MetaSMS,moonlight_16b_zero-shot_expert_direct,spam,ham,35
MetaSMS,moonlight_16b_zero-shot_expert_direct,spam,spam,365
MetaSMS,moonlight_16b_zero-shot_expert_direct,spam,smishing,219
MetaSMS,moonlight_16b_zero-shot_expert_direct,smishing,ham,31
MetaSMS,moonlight_16b_zero-shot_expert_direct,smishing,spam,572
MetaSMS,moonlight_16b_zero-shot_expert_direct,smishing,smishing,510
MetaSMS,moonlight_16b_zero-shot_expert_cot,ham,ham,6317
MetaSMS,moonlight_16b_zero-shot_expert_cot,ham,spam,961
MetaSMS,moonlight_16b_zero-shot_expert_cot,ham,smishing,990
MetaSMS,moonlight_16b_zero-shot_expert_cot,spam,ham,63
MetaSMS,moonlight_16b_zero-shot_expert_cot,spam,spam,148
MetaSMS,moonlight_16b_zero-shot_expert_cot,spam,smishing,408
MetaSMS,moonlight_16b_zero-shot_expert_cot,smishing,ham,71
MetaSMS,moonlight_16b_zero-shot_expert_cot,smishing,spam,207
MetaSMS,moonlight_16b_zero-shot_expert_cot,smishing,smishing,835
MetaSMS,moonlight_16b_few-shot_expert_cot,ham,ham,2440
MetaSMS,moonlight_16b_few-shot_expert_cot,ham,spam,242
MetaSMS,moonlight_16b_few-shot_expert_cot,ham,smishing,5586
MetaSMS,moonlight_16b_few-shot_expert_cot,spam,ham,41
MetaSMS,moonlight_16b_few-shot_expert_cot,spam,spam,94
MetaSMS,moonlight_16b_few-shot_expert_cot,spam,smishing,484
MetaSMS,moonlight_16b_few-shot_expert_cot,smishing,ham,44
MetaSMS,moonlight_16b_few-shot_expert_cot,smishing,spam,101
MetaSMS,moonlight_16b_few-shot_expert_cot,smishing,smishing,968
MetaSMS,gemma4_12b_zero-shot_basic_direct,ham,ham,8219
MetaSMS,gemma4_12b_zero-shot_basic_direct,ham,spam,18
MetaSMS,gemma4_12b_zero-shot_basic_direct,ham,smishing,31
MetaSMS,gemma4_12b_zero-shot_basic_direct,spam,ham,115
MetaSMS,gemma4_12b_zero-shot_basic_direct,spam,spam,107
MetaSMS,gemma4_12b_zero-shot_basic_direct,spam,smishing,397
MetaSMS,gemma4_12b_zero-shot_basic_direct,smishing,ham,109
MetaSMS,gemma4_12b_zero-shot_basic_direct,smishing,spam,100
MetaSMS,gemma4_12b_zero-shot_basic_direct,smishing,smishing,904
MetaSMS,gemma4_12b_zero-shot_expert_direct,ham,ham,8088
MetaSMS,gemma4_12b_zero-shot_expert_direct,ham,spam,139
MetaSMS,gemma4_12b_zero-shot_expert_direct,ham,smishing,41
MetaSMS,gemma4_12b_zero-shot_expert_direct,spam,ham,56
MetaSMS,gemma4_12b_zero-shot_expert_direct,spam,spam,252
MetaSMS,gemma4_12b_zero-shot_expert_direct,spam,smishing,311
MetaSMS,gemma4_12b_zero-shot_expert_direct,smishing,ham,60
MetaSMS,gemma4_12b_zero-shot_expert_direct,smishing,spam,290
MetaSMS,gemma4_12b_zero-shot_expert_direct,smishing,smishing,763
MetaSMS,gemma4_12b_zero-shot_expert_cot,ham,ham,8173
MetaSMS,gemma4_12b_zero-shot_expert_cot,ham,spam,71
MetaSMS,gemma4_12b_zero-shot_expert_cot,ham,smishing,24
MetaSMS,gemma4_12b_zero-shot_expert_cot,spam,ham,74
MetaSMS,gemma4_12b_zero-shot_expert_cot,spam,spam,238
MetaSMS,gemma4_12b_zero-shot_expert_cot,spam,smishing,307
MetaSMS,gemma4_12b_zero-shot_expert_cot,smishing,ham,87
MetaSMS,gemma4_12b_zero-shot_expert_cot,smishing,spam,275
MetaSMS,gemma4_12b_zero-shot_expert_cot,smishing,smishing,751
MetaSMS,gemma4_12b_few-shot_expert_cot,ham,ham,8166
MetaSMS,gemma4_12b_few-shot_expert_cot,ham,spam,76
MetaSMS,gemma4_12b_few-shot_expert_cot,ham,smishing,26
MetaSMS,gemma4_12b_few-shot_expert_cot,spam,ham,64
MetaSMS,gemma4_12b_few-shot_expert_cot,spam,spam,224
MetaSMS,gemma4_12b_few-shot_expert_cot,spam,smishing,331
MetaSMS,gemma4_12b_few-shot_expert_cot,smishing,ham,80
MetaSMS,gemma4_12b_few-shot_expert_cot,smishing,spam,267
MetaSMS,gemma4_12b_few-shot_expert_cot,smishing,smishing,766
MetaSMS,deepseek_r1_14b_zero-shot_basic_direct,ham,ham,13
MetaSMS,deepseek_r1_14b_zero-shot_basic_direct,ham,spam,6
MetaSMS,deepseek_r1_14b_zero-shot_basic_direct,ham,smishing,8249
MetaSMS,deepseek_r1_14b_zero-shot_basic_direct,spam,ham,7
MetaSMS,deepseek_r1_14b_zero-shot_basic_direct,spam,spam,14
MetaSMS,deepseek_r1_14b_zero-shot_basic_direct,spam,smishing,598
MetaSMS,deepseek_r1_14b_zero-shot_basic_direct,smishing,ham,28
MetaSMS,deepseek_r1_14b_zero-shot_basic_direct,smishing,spam,13
MetaSMS,deepseek_r1_14b_zero-shot_basic_direct,smishing,smishing,1072
MetaSMS,deepseek_r1_14b_zero-shot_expert_direct,ham,ham,386
MetaSMS,deepseek_r1_14b_zero-shot_expert_direct,ham,spam,175
MetaSMS,deepseek_r1_14b_zero-shot_expert_direct,ham,smishing,7707
MetaSMS,deepseek_r1_14b_zero-shot_expert_direct,spam,ham,199
MetaSMS,deepseek_r1_14b_zero-shot_expert_direct,spam,spam,164
MetaSMS,deepseek_r1_14b_zero-shot_expert_direct,spam,smishing,256
MetaSMS,deepseek_r1_14b_zero-shot_expert_direct,smishing,ham,441
MetaSMS,deepseek_r1_14b_zero-shot_expert_direct,smishing,spam,198
MetaSMS,deepseek_r1_14b_zero-shot_expert_direct,smishing,smishing,474
MetaSMS,deepseek_r1_14b_zero-shot_expert_cot,ham,ham,492
MetaSMS,deepseek_r1_14b_zero-shot_expert_cot,ham,spam,355
MetaSMS,deepseek_r1_14b_zero-shot_expert_cot,ham,smishing,7421
MetaSMS,deepseek_r1_14b_zero-shot_expert_cot,spam,ham,208
MetaSMS,deepseek_r1_14b_zero-shot_expert_cot,spam,spam,138
MetaSMS,deepseek_r1_14b_zero-shot_expert_cot,spam,smishing,273
MetaSMS,deepseek_r1_14b_zero-shot_expert_cot,smishing,ham,472
MetaSMS,deepseek_r1_14b_zero-shot_expert_cot,smishing,spam,177
MetaSMS,deepseek_r1_14b_zero-shot_expert_cot,smishing,smishing,464
MetaSMS,deepseek_r1_14b_few-shot_expert_cot,ham,ham,115
MetaSMS,deepseek_r1_14b_few-shot_expert_cot,ham,spam,72
MetaSMS,deepseek_r1_14b_few-shot_expert_cot,ham,smishing,8081
MetaSMS,deepseek_r1_14b_few-shot_expert_cot,spam,ham,10
MetaSMS,deepseek_r1_14b_few-shot_expert_cot,spam,spam,10
MetaSMS,deepseek_r1_14b_few-shot_expert_cot,spam,smishing,599
MetaSMS,deepseek_r1_14b_few-shot_expert_cot,smishing,ham,24
MetaSMS,deepseek_r1_14b_few-shot_expert_cot,smishing,spam,13
MetaSMS,deepseek_r1_14b_few-shot_expert_cot,smishing,smishing,1076
MetaSMS,qwen25_14b_zero-shot_basic_direct,ham,ham,7955
MetaSMS,qwen25_14b_zero-shot_basic_direct,ham,spam,175
MetaSMS,qwen25_14b_zero-shot_basic_direct,ham,smishing,138
MetaSMS,qwen25_14b_zero-shot_basic_direct,spam,ham,54
MetaSMS,qwen25_14b_zero-shot_basic_direct,spam,spam,264
MetaSMS,qwen25_14b_zero-shot_basic_direct,spam,smishing,301
MetaSMS,qwen25_14b_zero-shot_basic_direct,smishing,ham,40
MetaSMS,qwen25_14b_zero-shot_basic_direct,smishing,spam,333
MetaSMS,qwen25_14b_zero-shot_basic_direct,smishing,smishing,740
MetaSMS,qwen25_14b_zero-shot_expert_direct,ham,ham,7960
MetaSMS,qwen25_14b_zero-shot_expert_direct,ham,spam,192
MetaSMS,qwen25_14b_zero-shot_expert_direct,ham,smishing,116
MetaSMS,qwen25_14b_zero-shot_expert_direct,spam,ham,53
MetaSMS,qwen25_14b_zero-shot_expert_direct,spam,spam,257
MetaSMS,qwen25_14b_zero-shot_expert_direct,spam,smishing,309
MetaSMS,qwen25_14b_zero-shot_expert_direct,smishing,ham,47
MetaSMS,qwen25_14b_zero-shot_expert_direct,smishing,spam,322
MetaSMS,qwen25_14b_zero-shot_expert_direct,smishing,smishing,744
MetaSMS,qwen25_14b_zero-shot_expert_cot,ham,ham,8022
MetaSMS,qwen25_14b_zero-shot_expert_cot,ham,spam,171
MetaSMS,qwen25_14b_zero-shot_expert_cot,ham,smishing,75
MetaSMS,qwen25_14b_zero-shot_expert_cot,spam,ham,60
MetaSMS,qwen25_14b_zero-shot_expert_cot,spam,spam,305
MetaSMS,qwen25_14b_zero-shot_expert_cot,spam,smishing,254
MetaSMS,qwen25_14b_zero-shot_expert_cot,smishing,ham,64
MetaSMS,qwen25_14b_zero-shot_expert_cot,smishing,spam,404
MetaSMS,qwen25_14b_zero-shot_expert_cot,smishing,smishing,645
MetaSMS,qwen25_14b_few-shot_expert_cot,ham,ham,8065
MetaSMS,qwen25_14b_few-shot_expert_cot,ham,spam,117
MetaSMS,qwen25_14b_few-shot_expert_cot,ham,smishing,86
MetaSMS,qwen25_14b_few-shot_expert_cot,spam,ham,62
MetaSMS,qwen25_14b_few-shot_expert_cot,spam,spam,282
MetaSMS,qwen25_14b_few-shot_expert_cot,spam,smishing,275
MetaSMS,qwen25_14b_few-shot_expert_cot,smishing,ham,64
MetaSMS,qwen25_14b_few-shot_expert_cot,smishing,spam,368
MetaSMS,qwen25_14b_few-shot_expert_cot,smishing,smishing,681
MetaSMS,mistral_nemo_12b_zero-shot_basic_direct,ham,ham,8229
MetaSMS,mistral_nemo_12b_zero-shot_basic_direct,ham,spam,37
MetaSMS,mistral_nemo_12b_zero-shot_basic_direct,ham,smishing,2
MetaSMS,mistral_nemo_12b_zero-shot_basic_direct,spam,ham,560
MetaSMS,mistral_nemo_12b_zero-shot_basic_direct,spam,spam,47
MetaSMS,mistral_nemo_12b_zero-shot_basic_direct,spam,smishing,12
MetaSMS,mistral_nemo_12b_zero-shot_basic_direct,smishing,ham,971
MetaSMS,mistral_nemo_12b_zero-shot_basic_direct,smishing,spam,110
MetaSMS,mistral_nemo_12b_zero-shot_basic_direct,smishing,smishing,32
